Општина,година,број на деца
Република Македонија,2014,30107
Аеродром,2014,2638
Бутел,2014,873
Гази Баба,2014,1677
Ѓорче Петров,2014,1022
Карпош,2014,2453
Кисела Вода,2014,1915
Сарај,2014,-
Центар,2014,2135
Чаир,2014,1157
Шуто Оризари,2014,134
Арачиново,2014,-
Берово,2014,325
Битола,2014,1233
Богданци,2014,188
Боговиње,2014,11
Босилово,2014,-
Брвеница,2014,-
Валандово,2014,185
Василево,2014,-
Вевчани,2014,36
Велес,2014,994
Виница,2014,345
Вранештица,2014,-
Врапчиште,2014,-
Гевгелија,2014,647
Гостивар,2014,483
Градско,2014,37
Дебар,2014,205
Дебарца,2014,-
Делчево,2014,230
Демир Капија,2014,75
Демир Хисар,2014,73
Дојран,2014,9
Долнени,2014,-
Другово,2014,-
Желино,2014,-
Зајас,2014,-
Зелениково,2014,27
Зрновци,2014,-
Илинден,2014,227
Јегуновце,2014,20
Кавадарци,2014,826
Карбинци,2014,-
Кичево,2014,185
Конче,2014,-
Кочани,2014,666
Кратово,2014,124
Крива Паланка,2014,322
Кривогаштани,2014,-
Крушево,2014,74
Куманово,2014,1381
Липково,2014,-
Лозово,2014,23
Маврово и Ростуша,2014,-
Македонска Каменица,2014,128
Македонски Брод,2014,80
Могила,2014,-
Неготино,2014,392
Новаци,2014,-
Ново Село,2014,50
Осломеј,2014,-
Охрид,2014,780
Петровец,2014,75
Пехчево,2014,113
Пласница,2014,-
Прилеп,2014,802
Пробиштип,2014,341
Радовиш,2014,458
Ранковце,2014,16
Ресен,2014,116
Росоман,2014,72
Свети Николе,2014,333
Сопиште,2014,-
Старо Нагоричане,2014,-
Струга,2014,425
Струмица,2014,854
Студеничани,2014,-
Теарце,2014,-
Тетово,2014,724
Центар Жупа,2014,-
Чашка,2014,-
Чешиново - Облешево,2014,26
Чучер - Сандево,2014,-
Штип,2014,1367
Република Македонија,2015,32660
Аеродром,2015,2929
Бутел,2015,872
Гази Баба,2015,1744
Ѓорче Петров,2015,1170
Карпош,2015,2691
Кисела Вода,2015,2072
Сарај,2015,-
Центар,2015,2069
Чаир,2015,1378
Шуто Оризари,2015,233
Арачиново,2015,-
Берово,2015,301
Битола,2015,1384
Богданци,2015,181
Боговиње,2015,-
Босилово,2015,-
Брвеница,2015,20
Валандово,2015,203
Василево,2015,55
Вевчани,2015,40
Велес,2015,1131
Виница,2015,386
Вранештица,2015,-
Врапчиште,2015,-
Гевгелија,2015,622
Гостивар,2015,603
Градско,2015,-
Дебар,2015,263
Дебарца,2015,-
Делчево,2015,271
Демир Капија,2015,88
Демир Хисар,2015,78
Дојран,2015,40
Долнени,2015,-
Другово,2015,-
Желино,2015,-
Зајас,2015,-
Зелениково,2015,-
Зрновци,2015,-
Илинден,2015,227
Јегуновце,2015,-
Кавадарци,2015,932
Карбинци,2015,-
Кичево,2015,188
Конче,2015,-
Кочани,2015,688
Кратово,2015,119
Крива Паланка,2015,376
Кривогаштани,2015,-
Крушево,2015,64
Куманово,2015,1418
Липково,2015,-
Лозово,2015,-
Маврово и Ростуша,2015,-
Македонска Каменица,2015,151
Македонски Брод,2015,70
Могила,2015,-
Неготино,2015,421
Новаци,2015,-
Ново Село,2015,58
Осломеј,2015,-
Охрид,2015,798
Петровец,2015,-
Пехчево,2015,95
Пласница,2015,-
Прилеп,2015,1027
Пробиштип,2015,367
Радовиш,2015,498
Ранковце,2015,-
Ресен,2015,140
Росоман,2015,71
Свети Николе,2015,361
Сопиште,2015,-
Старо Нагоричане,2015,-
Струга,2015,505
Струмица,2015,1016
Студеничани,2015,-
Теарце,2015,-
Тетово,2015,846
Центар Жупа,2015,-
Чашка,2015,-
Чешиново - Облешево,2015,61
Чучер - Сандево,2015,-
Штип,2015,1339
