RKB,centralno,duration (h),distance (km),coordinates_centralno,coordinates_podracno,Населено место
7750103476,Аеродром - ООУ „Гоце Делчев“,0.1013888889,3.068,"41.9698429,21.4870208","41.9902048,21.477374",с. Долно Лисиче
7010104138,Арачиново - ООУ „Ѓерѓ Кастриоти Скендербеу“,0.1352777778,3.428,"42.0259089,21.5642524","42.0452652,21.5728569",с. Мојанче
7010104138,Арачиново - ООУ „Ѓерѓ Кастриоти Скендербеу“,0.1144444444,4.162,"42.0259089,21.5642524","42.047727,21.5926838",с. Орланче
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.4880555556,24.178,"41.707950780384465, 22.855144797486066","41.5904433,22.9185855",с. Двориште - Берово
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.07805555556,3.753,"41.7077826,22.8545511","41.7369176,22.8390488",с. Смојмирово
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.16,9.851,"41.7104071,22.8467131","41.7631614,22.7766109",с. Будинарци
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.1455555556,6.516,"41.7104071,22.8467131","41.7097895,22.7836551",с. Владимирово
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.25,15.521,"41.7104071,22.8467131","41.7799433,22.7413956",с. Митрашинци
7020105355,Берово - ООУ „Дедо Иљо Малешевски“,0.1161111111,6.225,"41.7104071,22.8467131","41.6738929,22.8519488",с. Ратево
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.1438888889,8.37,"41.0994604,21.3203646","41.1337001,21.2415884",с. Габалавци
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.05138888889,3.037,"41.0994604,21.3203646","41.1116729,21.2936198",с. Драгожани
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.0125,0.735,"41.0994604,21.3203646","41.0940881,21.3251401",с. Кукуречани
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.1072222222,6.576,"41.0994604,21.3203646","41.1480842,21.3021443",с. Лисолај
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.04583333333,2.643,"41.0994604,21.3203646","41.1217024,21.3241946",с. Црнобуки
7030104820,Битола - OОУ „Александар Турунџиев“ с.Кукуречани,0.1083333333,5.022,"41.0994604,21.3203646","41.074013,21.3274034",с. Крклино
7030104685,Битола - OОУ „Д-р Трифун Пановски“ Битола,0.1502777778,4.447,"41.0311034,21.3268338","41.0233794,21.2847983",с. Брусник
7030104685,Битола - OОУ „Д-р Трифун Пановски“ Битола,0.2036111111,7.696,"41.0311034,21.3268338","41.0550982,21.2627806",с. Братиндол
7030104685,Битола - OОУ „Д-р Трифун Пановски“ Битола,0.1597222222,6.302,"41.0311034,21.3268338","41.0329135,21.2631903",с. Дихово
7030104685,Битола - OОУ „Д-р Трифун Пановски“ Битола,0.1891666667,7.159,"41.0311034,21.3268338","41.0450702,21.2501205",с. Трново
7030104669,Битола - OОУ „Даме Груев“,0.1508333333,5.972,"41.0338325,21.344913","41.0642813,21.3939301",с. Карамани
7030104669,Битола - OОУ „Даме Груев“,0.09222222222,3.011,"41.0338325,21.344913","41.0475678,21.3705431",с. Долно Оризари
7030105126,Битола - OОУ „Елпида Караманди“,0.4463888889,18.936,"41.031412,21.3124487","41.08427517573025, 21.155494953752186",с. Доленци
7030105126,Битола - OОУ „Елпида Караманди“,0.3222222222,13.788,"41.031412,21.3124487","41.0567288,21.1783136",с. Цапари
7030104723,Битола - OОУ „Коле Канински“,0.1680555556,5.172,"41.0257784,21.3437735","41.0160535,21.3902424",с. Поешево
7030104723,Битола - OОУ „Коле Канински“,0.05222222222,0.684,"41.0257784,21.3437735","41.029917,21.3439345",нас. Буковски ливади
7030104723,Битола - OОУ „Коле Канински“,0.1488888889,4.344,"41.0257784,21.3437735","40.9951211,21.3324336",с. Буково
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.2866666667,13.465,"40.9933745,21.383053","40.9016261,21.3436576",с. Граешница
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1741666667,8.546,"40.9933745,21.383053","40.9382804,21.3737964",с. Породин
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1825,6.585,"40.9933745,21.383053","40.9529518,21.3575803",с. Барешани
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1958333333,7.839,"40.9933745,21.383053","40.9460447,21.3549855",с. Канино
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1530555556,5.458,"40.9933745,21.383053","40.9618246,21.3597607",с. Олевени
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.2672222222,12.194,"40.9933745,21.383053","40.9119961,21.3783985",с. Лажец
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.2352777778,10.332,"40.9933745,21.383053","40.9287973,21.3509713",с. Велушина
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.3827777778,17.013,"40.9933745,21.383053","40.8876467,21.3120167",с. Кишава
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.4105555556,14.854,"40.9933745,21.383053","40.9295312,21.3011458",с. Острец
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.2161111111,12.242,"40.9933745,21.383053","40.9248766,21.4587563",с. Кременица
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1208333333,5.108,"40.9933745,21.383053","40.9564401,21.391905",с. Жабени
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1094444444,4.071,"40.9933745,21.383053","40.9899246,21.4202262",с. Оптичари
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1963888889,9.842,"40.9933745,21.383053","40.9297665,21.4311795",с. Меџитлија
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.1877777778,9.29,"40.9933745,21.383053","40.9585079,21.4567759",с. Егри
7030104847,Битола - OОУ „Крсте Петков Мисирков“,0.05111111111,1,"40.9933745,21.383053","40.9957403,21.3753504",с. Кравари
7030104707,Битола - OОУ „Св.Кирил и Методиј“,0.1833333333,6.877,"41.0309561,21.3386463","41.0310206,21.40872",с. Логоварди
7030104693,Битола - OОУ „Тодор Ангелевски“,0.0975,2.854,"41.0370266,21.3365295","41.0443082,21.3429734",нас. Стрелиште
7030104693,Битола - OОУ „Тодор Ангелевски“,0.09833333333,2.326,"41.0370266,21.3365295","41.0507997,21.3345624",нас. Горно Оризари
7040108125,Богданци - ООУ „Кирил и Методиј“ с.Стојаково,0.11,4.705,"41.1569766,22.5775051","41.1508632,22.6186594",с. Селемли
7040108117,Богданци - ООУ „Петар Мусев“,0.1161111111,4.113,"41.1997803,22.5788987","41.1931143,22.5377939",с. Ѓавото
7050107730,Боговиње - OОУ „11 Октомври“ с.Урвич,0.1358333333,4.014,"41.9483378,20.8952275","41.9440497,20.8642952",с. НовоСело-Боговиње
7050107730,Боговиње - OОУ „11 Октомври“ с.Урвич,0.09333333333,1.959,"41.9483378,20.8952275","41.9597162,20.8956529",с. Јеловјане
7050107390,Боговиње - OОУ „Абдил Фрашери“ с.Боговиње,0.5452777778,15.304,"41.9483379,20.8952274","41.9386764,20.877085",с. Селце Кеч
7050107390,Боговиње - OОУ „Абдил Фрашери“ с.Боговиње,0.05277777778,1.337,"41.9164672,20.9048639","41.9207226,20.8975427",с. Ранковец
