match,opshtina,osnnovno_tip ,osnovno_ucilishte,language,uce_2019_2020,uce_2020_2021,uce_2021_2022,uce_2022_2023,uce_2023_2024,par_2019_2020,par_2020_2021,par_2021_2022,par_2022_2023,par_2023_2024,lat,long
Аеродром - ООУ АЛЕКСАНДАР МАКЕДОНСКИ,Аеродром,ЦУ,АЛЕКСАНДАР МАКЕДОНСКИ,"македонски",6650,6990,7320,739,699,260,270,280,280,27,41.9902048,21.477374
Аеродром - ООУ ГОРГИЈА ПУЛЕВСКИ,Аеродром,ЦУ,ГОРГИЈА ПУЛЕВСКИ,"македонски",9960,9830,9930,1008,1018,370,390,400,410,41,41.9902048,21.477374
Аеродром - ООУ ГОЦЕ ДЕЛЧЕВ - ГОРНО ЛИСИЧЕ,Аеродром,ЦУ,ГОЦЕ ДЕЛЧЕВ - ГОРНО ЛИСИЧЕ,"албански, македонски",4980,5110,5140,517,520,210,220,210,210,21,41.9902048,21.477374
Аеродром - ООУ ГОЦЕ ДЕЛЧЕВ - ГОРНО ЛИСИЧЕ с.Долно Лисиче,Аеродром,ПУ,ГОЦЕ ДЕЛЧЕВ - ГОРНО ЛИСИЧЕ с.Долно Лисиче,"македонски",1890,1880,1830,194,192,90,90,90,90,9,41.9902048,21.477374
Аеродром - ООУ ДИМИТАР МАКЕДОНСКИ,Аеродром,ЦУ,ДИМИТАР МАКЕДОНСКИ,"македонски",5650,5780,5640,549,564,240,250,260,260,25,41.9902048,21.477374
Аеродром - ООУ ЛАЗО АНГЕЛОВСКИ,Аеродром,ЦУ,ЛАЗО АНГЕЛОВСКИ,"македонски",14530,14560,15080,1579,1525,530,530,550,560,56,41.9902048,21.477374
Аеродром - ООУ ЉУБЕН ЛАПЕ,Аеродром,ЦУ,ЉУБЕН ЛАПЕ,"македонски",11350,11840,12490,1276,1271,400,420,440,460,46,41.9902048,21.477374
Арачиново - ООУ АБДИЛ ФРАШЕРИ с. Арачиново,Арачиново,ЦУ,АБДИЛ ФРАШЕРИ с. Арачиново,"албански",0,0,0,0,891,0,0,0,0,37,42.047727,21.5926838
Арачиново - ООУ АБДИЛ ФРАШЕРИ с. Арачиново  с.Орланци,Арачиново,ПУ,АБДИЛ ФРАШЕРИ с. Арачиново  с.Орланци,"албански, македонски",1530,1440,1620,161,149,90,110,100,110,11,42.047727,21.5926838
Арачиново - ООУ БАЈРАМ  ШАБАНИ  с.ГРУШИНО,Арачиново,ЦУ,БАЈРАМ  ШАБАНИ  с.ГРУШИНО,"албански",970,920,870,89,94,80,90,90,90,9,42.047727,21.5926838
Арачиново - ООУ ЃEРЃ КАСТРИОТ СКЕНДЕРБЕУ  с.Арачиново,Арачиново,ЦУ,ЃEРЃ КАСТРИОТ СКЕНДЕРБЕУ  с.Арачиново,"албански",18190,18290,18190,1799,804,660,670,670,660,29,42.047727,21.5926838
Арачиново - ООУ ЃEРЃ КАСТРИОТ СКЕНДЕРБЕУ  с.Арачиново с.Мојанци,Арачиново,ПУ,ЃEРЃ КАСТРИОТ СКЕНДЕРБЕУ  с.Арачиново с.Мојанци,"албански",460,370,310,30,28,40,40,50,50,5,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ,Берово ,ЦУ,ДЕДО ИЉО МАЛЕШЕВСКИ,"македонски",4820,4850,4910,476,498,300,310,300,290,29,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с. Владимирово,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с. Владимирово,"македонски",70,90,70,4,0,20,20,20,10,0,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с. Мачево,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с. Мачево,"македонски",0,0,0,0,0,0,0,0,0,0,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с. Ратево,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с. Ратево,"македонски",190,150,140,18,16,30,20,20,20,2,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с.Будинарци,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с.Будинарци,"македонски",430,390,360,34,29,70,70,70,60,6,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с.Двориште,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с.Двориште,"македонски",840,890,880,86,81,80,90,90,90,9,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с.Митрашинци,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с.Митрашинци,"македонски",400,410,420,40,38,60,60,60,70,7,42.047727,21.5926838
Берово  - ООУ ДЕДО ИЉО МАЛЕШЕВСКИ с.Смојмирово,Берово ,ПУ,ДЕДО ИЉО МАЛЕШЕВСКИ с.Смојмирово,"македонски",190,150,110,4,0,20,20,20,10,0,42.047727,21.5926838
Берово  - ООУ НИКОЛА ПЕТРОВ  РУСИНСКИ  с.Русиново,Берово ,ЦУ,НИКОЛА ПЕТРОВ  РУСИНСКИ  с.Русиново,"македонски",980,940,870,80,74,80,90,90,90,9,42.047727,21.5926838
Битола - ООУ АЛЕКСАНДАР  ТУРУНЏЕВ с.Кукуречани,Битола,ЦУ,АЛЕКСАНДАР  ТУРУНЏЕВ с.Кукуречани,"македонски",1450,1420,1320,131,117,130,130,140,130,12,41.0507997,21.3345624
Битола - ООУ АЛЕКСАНДАР  ТУРУНЏЕВ с.Кукуречани с. Габалавци,Битола,ПУ,АЛЕКСАНДАР  ТУРУНЏЕВ с.Кукуречани с. Габалавци,"македонски",20,20,0,0,0,10,10,0,0,0,41.0507997,21.3345624
